"Main","Day","TotalVol"
" COLLEGE ST ","Tuesday",86302
" EGLINTON AVE E ","Tuesday",86082
" DANFORTH AVE ","Wednesday",84979
" EGLINTON AVE W ","Wednesday",84031
" ISLINGTON AVE ","Saturday",83981
" EGLINTON AVE E ","Saturday",80827
" THE QUEENSWAY ","Monday",80686
" LAWRENCE AVE W ","Tuesday",80613
" KINGSTON RD ","Tuesday",80346
" EGLINTON AVE W ","Saturday",79827
" BLACK CREEK DR ","Wednesday",79080
" COLLEGE ST ","Saturday",78752
" GERRARD ST E ","Wednesday",78226
" SHERBOURNE ST ","Wednesday",78028
" RENFORTH DR ","Thursday",77871
" O CONNOR DR ","Wednesday",77871
" O CONNOR DR ","Saturday",77477
" MCCOWAN RD ","Thursday",76995
" LAKE SHORE BLVD W ","Monday",76855
" HIGHWAY 27 ","Tuesday",75773
" KING ST W ","Thursday",74977
" FINCH AVE E ","Thursday",74220
" BLOOR ST E ","Saturday",73291
" ST CLAIR AVE W ","Wednesday",72908
" QUEEN ST E ","Wednesday",72199
" LESLIE ST ","Tuesday",71924
" BLOOR ST E ","Thursday",71306
" CHURCH ST ","Wednesday",69804
" DANFORTH AVE ","Saturday",69478
" O CONNOR DR ","Monday",68979
" KEELE ST ","Wednesday",68387
" ST CLAIR AVE E ","Wednesday",67768
" KENNEDY RD ","Wednesday",66139
" BURNHAMTHORPE RD ","Monday",65723
" QUEEN ST E ","Saturday",65562
" BRIMLEY RD ","Monday",65324
" DAVENPORT RD ","Monday",65311
" KEELE ST ","Monday",65220
" YONGE ST ","Thursday",64625
" NEILSON RD ","Thursday",64562
" WILSON AVE ","Monday",64506
" STEELES AVE W ","Friday",64424
" COLLEGE ST ","Monday",64347
" BURNHAMTHORPE RD ","Wednesday",62775
" DAVENPORT RD ","Thursday",62421
" LESLIE ST ","Thursday",61904
" MARTIN GROVE RD ","Monday",61573
" KING ST E ","Tuesday",61080
" SHEPPARD AVE E ","Monday",60796
" DIXON RD ","Saturday",60595
" KENNEDY RD ","Monday",60588
" GERRARD ST E ","Tuesday",60099
" MORNINGSIDE AVE ","Monday",60034
