Tcs, Main , Midblock_Route , Side_1_Route , Side_2_Route ,Activation_Date,Latitude,Longitude,Count_Date,eight_Peak_Hr_Vehicle_Volume,eight_Peak_Hr_Pedestrian_Volume
1568, SHEPPARD AVE E ,, MALVERN ST , PROGRESS AVE ,12/15/1988,43.79468,-79.23491,05-01-2017,21065,1337
1569, ELLESMERE RD ,, CONLINS RD ,,12/28/1988,43.78791,-79.18324,02-10-2016,8083,549
1570, FINCH AVE W ,, KIPLING AVE ,,02/11/1989,43.74329,-79.5821,05-15-2015,22468,5000
1571, JANE ST ,, PRITCHARD AVE ,,01/03/1989,43.66949,-79.49279,01-25-2018,12246,729
1572, MCCOWAN RD ,, ALTON TOWERS CRCL ,,04/26/1989,43.82252,-79.27397,05-04-2015,14230,726
1573, KINGSTON RD ,, LAWSON RD , OLD KINGSTON RD ,04/27/1989,43.78454,-79.16872,12-14-2010,7477,122
1574, LAWRENCE AVE E ,, PORT UNION RD ,,04/05/1989,43.77963,-79.13669,05-19-2016,8095,519
1575, WELLESLEY ST E ,, ONTARIO ST ,,06/07/1989,43.66764,-79.37219,07-29-2009,7234,3393
1576, KENNEDY RD ,, BONIS AVE , CARDWELL AVE ,09/15/1989,43.78577,-79.28945,04-07-2011,21580,863
1577, CARLINGVIEW DR ,, FASKEN DR ,,06/22/1989,43.69153,-79.59766,01-19-2017,8331,62
1578, STEELES AVE E ,, ASHCOTT ST , FENTON RD ,06/29/1989,43.82728,-79.29174,12-16-2010,18519,292
1579, SPADINA AVE ,, BREMNER BLVD ,,05/28/1989,43.64054,-79.39294,07-08-2015,22600,8056
1580, FRONT ST W ,, BLUE JAYS WAY ,,05/25/1989,43.6433915,-79.391253,06-21-2017,15189,17689
1581, VICTORIA PARK AVE ,, SUNRISE AVE , HOLSWADE RD ,06/28/1989,43.71981,-79.3006,03-19-2013,12250,706
1582, MIDDLEFIELD RD ,, MCNICOLL AVE ,,08/30/1989,43.8201296,-79.2620527,01-20-2016,16707,122
1583, STEELES AVE E ,, MARKHAM RD ,,01/01/1966,43.83663,-79.25116,01-20-2016,29314,622
1584, MORNINGSIDE AVE ,, MILNER AVE ,,12/21/1989,43.8003,-79.19908,02-29-2016,24953,552
1585, VICTORIA PARK AVE ,, ARNCLIFFE CRES , PRIVATE ACCESS ,09/21/1989,43.73188,-79.30559,05-09-2013,15720,485
1586, KENNEDY RD ,, MCNICOLL AVE ,,08/29/1989,43.81214,-79.30193,05-12-2011,30650,1884
1587, FINCH AVE E ,, NEILSON RD ,,10/13/1989,43.81634,-79.22752,12-03-2016,11247,211
1588, YONGE ST ,, QUEENS QUAY ,,05/10/1989,43.64195,-79.37461,04-22-2009,9669,1160
1589, QUEEN ST W ,, PETER ST , SOHO ST ,05/10/1989,43.64935,-79.39366,06-14-2017,8832,11307
1590, FINCH AVE W ,, ELANA DR , YORK GATE BLVD ,09/28/1989,43.75677,-79.5207,10-18-2016,25268,2540
1591, BLOOR ST W ,, MONTGOMERY RD ,,12/12/1989,43.64673,-79.51454,09-18-2012,15344,852
1592, KENNEDY RD ,, SUFFERANCE RD , PRIVATE ACCESS ,01/11/1989,43.77734,-79.28561,09-30-2013,29744,326
1593, QUEENS QUAY W ,, BATHURST ST ,,01/25/1990,43.63568,-79.39829,04-22-2014,7829,1701
1594, BATHURST ST ,, ULSTER ST ,,07/12/1989,43.6598,-79.40904,04-02-2015,10369,1931
1595, OAK ST ,, KNOB HILL DR , PRIVATE ACCESS ,12/28/1989,43.70812,-79.53196,10-19-2011,10787,240
1596, ROGERS RD ,, NAIRN AVE ,,03/01/1990,43.6842,-79.45169,02-24-2014,8419,780
1597, FINCH AVE E ,, FINCHDENE SQ ,,01/19/1990,43.8155,-79.23151,12-06-2016,9968,67
1598, FINCH AVE E ,, ADIRONDACK GT , WAYSIDE AVE ,01/30/1990,43.80058,-79.29963,12-06-2016,16181,468
1599, BRIMLEY RD ,, DEERFIELD RD ,,01/03/1990,43.74551,-79.25202,12-15-2016,10637,223
1600, STEELES AVE W ,, VILLAGE GT , EMERALD LANE ,12/18/1996,43.79348,-79.44102,05-15-2012,21646,656
1605, OLD WESTON RD ,, KANE AVE , LAVENDER RD ,01/08/1990,43.68062,-79.46644,01-12-2010,7427,491
1606, MORNINGSIDE AVE ,, SEWELLS RD ,,04/09/1990,43.8163226,-79.2111564,02-29-2016,12264,334
1607, ELLESMERE RD ,, MONDEO DR , PRIVATE ACCESS ,12/07/1990,43.7643,-79.28772,05-19-2016,22109,1075
1608, UNIVERSITY AVE ,, GERRARD ST W ,,12/20/1990,43.65752,-79.38952,01-18-2017,25653,9081
1609, ISLINGTON AVE ,, MONOGRAM PL ,,07/12/1990,43.70521,-79.55043,04-29-2014,20402,298
1610, ST CLAIR AVE W ,, VIA ITALIA ,,09/20/1990,43.67739,-79.44565,03-06-2008,7834,2538
1611, STEELES AVE W ,, IRONDALE DR , PEARCE RD ,07/11/1990,43.76966,-79.5496,05-13-2015,17754,194
1612, STEELES AVE W ,, ROSSDEAN DR , DIRECTOR CRT ,11/14/1990,43.77156,-79.54062,09-15-2014,22747,189
1613, ROGERS RD ,, GLENHOLME AVE ,,03/10/1990,43.68652,-79.4416,11-19-2008,7779,825
1614, ELLESMERE RD ,, MORRISH RD ,,09/19/1990,43.79017,-79.17338,02-10-2016,6129,268
1615, SENTINEL RD ,, MURRAY ROSS PKWY ,,10/18/1990,43.76485,-79.50129,07-06-2016,7493,1468
1616, FINCH AVE W ,, TANGIERS RD ,,10/31/1990,43.76411,-79.48826,02-23-2016,16447,1532
1617, PHARMACY AVE , 175m SOUTH OF , EGLINTON AVE E , PRIVATE ACCESS ,04/10/1990,43.72404,-79.29691,11-17-2014,11958,449
1618, STEELES AVE E ,, FIREBRACE RD , PRIVATE ACCESS ,04/12/1990,43.81792,-79.33209,11-10-2016,28633,350
1619, REXDALE BLVD ,, HUMBERWOOD BLVD ,,01/23/1991,43.72042,-79.61264,04-21-2016,20860,112
1620, MARKHAM RD ,, NASHDENE RD , PRIVATE ACCESS ,03/01/1991,43.82027,-79.24619,02-22-2012,22030,59
1621, BATHURST ST ,, TICHESTER RD ,,01/31/1991,43.68543,-79.41922,04-01-2015,17156,1127
1622, WILSON AVE ,, BELGRAVE AVE , PRIVATE ACCESS ,08/22/1991,43.74065,-79.41818,02-03-2009,13556,563
1623, DUNDAS ST W ,, HOWLAND ST , PRIVATE ACCESS ,05/16/1991,43.66392,-79.50349,05-12-2016,18746,349
1624, LAWRENCE AVE W , 55m EAST OF , OLYMPIA DR , PRIVATE ACCESS ,03/28/1991,43.70569,-79.49091,06-07-2013,18305,578
1625, DUFFERIN ST , 250m NORTH OF , STANSTEAD DR , PRIVATE ACCESS ,02/26/1992,43.76546701,-79.46613908,11-30-2016,42055,187
1626, MOUNT PLEASANT RD ,, SHERWOOD AVE ,,10/05/1991,43.71501,-79.39264,01-23-2013,14627,611
1627, SIGNET DR ,, GARYRAY DR ,,12/19/1991,43.768438,-79.5423288,01-25-2012,6137,69
1628, KING ST W ,, SHAW ST ,,08/25/1994,43.64145,-79.41501,05-17-2017,11884,5678
1629, CASTLEFIELD AVE ,, RONALD AVE ,,07/07/1992,43.69894,-79.45942,07-27-2015,10128,172
1630, MORNINGSIDE AVE ,, JOHN STONER DR , MORNINGVIEW TRL ,08/20/1991,43.8133414,-79.2063837,03-02-2016,11748,123
1631, SHEPPARD AVE E ,, KENNETH AVE , LEONA DR ,07/11/1991,43.76292,-79.40475,04-30-2013,22990,1877
1632, MILLWICK DR ,, PLUNKETT RD ,,03/10/1991,43.7604501,-79.5700789,02-14-2012,5614,168
1633, PHARMACY AVE ,, BEVERLY GLEN BLVD , CHESTER LE BLVD ,10/24/1991,43.80182,-79.32967,02-06-2018,11058,169
1634, BRIMLEY RD ,, EAGLEDANCE DR , PORT ROYAL TRL ,09/24/1991,43.824975,-79.28602,01-09-2017,9588,181
1635, SHEPPARD AVE E ,, ATRIUM LANE , DURNFORD RD ,11/27/1991,43.80093,-79.15057,04-03-2014,6605,282
1636, WILSON AVE ,, JULIAN RD ,,01/30/1992,43.724634,-79.491089,04-07-2016,17209,1265
1637, MORTIMER AVE ,, LOGAN AVE ,,06/10/1992,43.68491,-79.3519,11-02-2016,7907,621
1638, WARDEN AVE , 210m SOUTH OF , CIVIC RD , PRIVATE ACCESS ,08/27/1998,43.725096,-79.286521,11-28-2011,15487,702
1639, BRIMLEY RD ,, HEATHER RD ,,10/07/1992,43.7905795,-79.2699662,12-15-2016,13883,72
1640, WILLOWDALE AVE ,, BISHOP AVE ,,04/07/1992,43.78346,-79.40786,03-26-2014,12377,154
1641, RENFORTH DR ,, SILVER DART DR ,,05/27/1992,43.6764,-79.5933,02-22-2012,18493,5
1642, DOVERCOURT RD ,, DEWSON ST ,,07/13/1992,43.65619,-79.42741,05-20-2010,5859,1005
1643, DON MILLS RD , 255m NORTH OF , THE DONWAY E , PRIVATE ACCESS ,05/25/1992,43.73439866,-79.34265554,11-23-2009,22102,1088
1644, ADELAIDE ST W ,, SHEPPARD ST ,,09/27/1992,43.64963,-79.38213,08-07-2012,8550,6037
1645, FINCH AVE E ,, MAXOME AVE , PRIVATE ACCESS ,08/25/1992,43.7833368,-79.3993073,11-30-2016,17192,444
1646, VAUGHAN RD ,, KENWOOD AVE ,,10/09/1992,43.68764,-79.42364,02-10-2009,5240,921
1647, DUFFERIN ST ,, ROWAN AVE ,,08/19/1992,43.6922,-79.44879,04-12-2016,12966,313
1648, EGLINTON AVE E ,, SUTHERLAND DR ,,04/11/1992,43.71311,-79.36724,05-16-2012,18249,827
1649, WARDEN AVE , 200m SOUTH OF , BAMBURGH CRCL ,,10/22/1992,43.81436768,-79.32453319,05-05-2015,9826,965
1650, BAYVIEW AVE ,, ARMISTICE DR , HARGRAVE LANE ,12/14/1992,43.72374,-79.37947,09-26-2011,26357,378
1651, KIPLING AVE ,, BEACONHILL RD ,,05/11/1992,43.75363,-79.58704,12-04-2014,8342,404
1652, DUFFERIN ST ,, AUBURN AVE ,,01/20/1993,43.67556,-79.44206,04-12-2016,11907,733
1653, ST CLAIR AVE W ,, WYCHWOOD AVE , PRIVATE ACCESS ,05/12/1992,43.68219,-79.42335,05-03-2010,8350,1380
1654, EGLINTON AVE W ,, RAKELY CRT , SPECTRUM WAY ,12/23/1992,43.64872,-79.60632,12-09-2013,14635,298
